subject,predicate,object
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,chest_pain
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,acidity
GERD,HAS_SYMPTOM,ulcers_on_tongue
GERD,HAS_SYMPTOM,vomiting
GERD,HAS_SYMPTOM,chest_pain
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,acidity
GERD,HAS_SYMPTOM,ulcers_on_tongue
GERD,HAS_SYMPTOM,vomiting
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,acidity
GERD,HAS_SYMPTOM,ulcers_on_tongue
GERD,HAS_SYMPTOM,vomiting
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,chest_pain
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,ulcers_on_tongue
GERD,HAS_SYMPTOM,vomiting
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,chest_pain
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,acidity
GERD,HAS_SYMPTOM,vomiting
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,chest_pain
GERD,HAS_SYMPTOM,stomach_pain
GERD,HAS_SYMPTOM,acidity
GERD,HAS_SYMPTOM,ulcers_on_tongue
GERD,HAS_SYMPTOM,cough
GERD,HAS_SYMPTOM,chest_pain
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Chronic cholestasis,HAS_SYMPTOM,itching
Chronic cholestasis,HAS_SYMPTOM,vomiting
Chronic cholestasis,HAS_SYMPTOM,yellowish_skin
Chronic cholestasis,HAS_SYMPTOM,nausea
Chronic cholestasis,HAS_SYMPTOM,loss_of_appetite
Chronic cholestasis,HAS_SYMPTOM,abdominal_pain
Chronic cholestasis,HAS_SYMPTOM,yellowing_of_eyes
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,skin_rash
Drug Reaction,HAS_SYMPTOM,stomach_pain
Drug Reaction,HAS_SYMPTOM,burning_micturition
Drug Reaction,HAS_SYMPTOM,spotting_ urination
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,stomach_pain
Drug Reaction,HAS_SYMPTOM,burning_micturition
Drug Reaction,HAS_SYMPTOM,spotting_ urination
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,skin_rash
Drug Reaction,HAS_SYMPTOM,burning_micturition
Drug Reaction,HAS_SYMPTOM,spotting_ urination
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,skin_rash
Drug Reaction,HAS_SYMPTOM,stomach_pain
Drug Reaction,HAS_SYMPTOM,spotting_ urination
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,skin_rash
Drug Reaction,HAS_SYMPTOM,stomach_pain
Drug Reaction,HAS_SYMPTOM,burning_micturition
Drug Reaction,HAS_SYMPTOM,skin_rash
Drug Reaction,HAS_SYMPTOM,stomach_pain
Drug Reaction,HAS_SYMPTOM,burning_micturition
Drug Reaction,HAS_SYMPTOM,spotting_ urination
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,stomach_pain
Drug Reaction,HAS_SYMPTOM,burning_micturition
Drug Reaction,HAS_SYMPTOM,spotting_ urination
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,skin_rash
Drug Reaction,HAS_SYMPTOM,burning_micturition
Drug Reaction,HAS_SYMPTOM,spotting_ urination
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,skin_rash
Drug Reaction,HAS_SYMPTOM,stomach_pain
Drug Reaction,HAS_SYMPTOM,spotting_ urination
Drug Reaction,HAS_SYMPTOM,itching
Drug Reaction,HAS_SYMPTOM,skin_rash
Drug Reaction,HAS_SYMPTOM,stomach_pain
Drug Reaction,HAS_SYMPTOM,burning_micturition
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,loss_of_appetite
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,indigestion
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
Peptic ulcer diseae,HAS_SYMPTOM,indigestion
Peptic ulcer diseae,HAS_SYMPTOM,loss_of_appetite
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,loss_of_appetite
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,indigestion
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,indigestion
Peptic ulcer diseae,HAS_SYMPTOM,loss_of_appetite
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,indigestion
Peptic ulcer diseae,HAS_SYMPTOM,loss_of_appetite
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,indigestion
Peptic ulcer diseae,HAS_SYMPTOM,loss_of_appetite
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,indigestion
Peptic ulcer diseae,HAS_SYMPTOM,loss_of_appetite
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
Peptic ulcer diseae,HAS_SYMPTOM,vomiting
Peptic ulcer diseae,HAS_SYMPTOM,indigestion
Peptic ulcer diseae,HAS_SYMPTOM,loss_of_appetite
Peptic ulcer diseae,HAS_SYMPTOM,abdominal_pain
Peptic ulcer diseae,HAS_SYMPTOM,passage_of_gases
Peptic ulcer diseae,HAS_SYMPTOM,internal_itching
AIDS,HAS_SYMPTOM,muscle_wasting
AIDS,HAS_SYMPTOM,patches_in_throat
AIDS,HAS_SYMPTOM,high_fever
AIDS,HAS_SYMPTOM,extra_marital_contacts
AIDS,HAS_SYMPTOM,patches_in_throat
AIDS,HAS_SYMPTOM,high_fever
AIDS,HAS_SYMPTOM,extra_marital_contacts
AIDS,HAS_SYMPTOM,muscle_wasting
AIDS,HAS_SYMPTOM,high_fever
AIDS,HAS_SYMPTOM,extra_marital_contacts
AIDS,HAS_SYMPTOM,muscle_wasting
AIDS,HAS_SYMPTOM,patches_in_throat
AIDS,HAS_SYMPTOM,extra_marital_contacts
AIDS,HAS_SYMPTOM,muscle_wasting
AIDS,HAS_SYMPTOM,patches_in_throat
AIDS,HAS_SYMPTOM,high_fever
AIDS,HAS_SYMPTOM,muscle_wasting
AIDS,HAS_SYMPTOM,patches_in_throat
AIDS,HAS_SYMPTOM,high_fever
AIDS,HAS_SYMPTOM,extra_marital_contacts
AIDS,HAS_SYMPTOM,muscle_wasting
AIDS,HAS_SYMPTOM,patches_in_throat
AIDS,HAS_SYMPTOM,high_fever
AIDS,HAS_SYMPTOM,extra_marital_contacts
AIDS,HAS_SYMPTOM,patches_in_throat
AIDS,HAS_SYMPTOM,high_fever
AIDS,HAS_SYMPTOM,extra_marital_contacts
AIDS,HAS_SYMPTOM,muscle_wasting
AIDS,HAS_SYMPTOM,high_fever
AIDS,HAS_SYMPTOM,extra_marital_contacts
AIDS,HAS_SYMPTOM,muscle_wasting
AIDS,HAS_SYMPTOM,patches_in_throat
AIDS,HAS_SYMPTOM,high_fever
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,excessive_hunger
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Diabetes,HAS_SYMPTOM,fatigue
Diabetes,HAS_SYMPTOM,weight_loss
Diabetes,HAS_SYMPTOM,restlessness
Diabetes,HAS_SYMPTOM,lethargy
Diabetes,HAS_SYMPTOM,irregular_sugar_level
Diabetes,HAS_SYMPTOM,blurred_and_distorted_vision
Diabetes,HAS_SYMPTOM,obesity
Diabetes,HAS_SYMPTOM,increased_appetite
Diabetes,HAS_SYMPTOM,polyuria
Gastroenteritis,HAS_SYMPTOM,vomiting
Gastroenteritis,HAS_SYMPTOM,sunken_eyes
Gastroenteritis,HAS_SYMPTOM,dehydration
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Gastroenteritis,HAS_SYMPTOM,vomiting
Gastroenteritis,HAS_SYMPTOM,sunken_eyes
Gastroenteritis,HAS_SYMPTOM,dehydration
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Gastroenteritis,HAS_SYMPTOM,sunken_eyes
Gastroenteritis,HAS_SYMPTOM,dehydration
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Gastroenteritis,HAS_SYMPTOM,vomiting
Gastroenteritis,HAS_SYMPTOM,dehydration
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Gastroenteritis,HAS_SYMPTOM,vomiting
Gastroenteritis,HAS_SYMPTOM,sunken_eyes
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Gastroenteritis,HAS_SYMPTOM,vomiting
Gastroenteritis,HAS_SYMPTOM,sunken_eyes
Gastroenteritis,HAS_SYMPTOM,dehydration
Gastroenteritis,HAS_SYMPTOM,vomiting
Gastroenteritis,HAS_SYMPTOM,sunken_eyes
Gastroenteritis,HAS_SYMPTOM,dehydration
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Gastroenteritis,HAS_SYMPTOM,sunken_eyes
Gastroenteritis,HAS_SYMPTOM,dehydration
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Gastroenteritis,HAS_SYMPTOM,vomiting
Gastroenteritis,HAS_SYMPTOM,dehydration
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Gastroenteritis,HAS_SYMPTOM,vomiting
Gastroenteritis,HAS_SYMPTOM,sunken_eyes
Gastroenteritis,HAS_SYMPTOM,diarrhoea
Bronchial Asthma,HAS_SYMPTOM,fatigue
Bronchial Asthma,HAS_SYMPTOM,cough
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Bronchial Asthma,HAS_SYMPTOM,cough
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Bronchial Asthma,HAS_SYMPTOM,fatigue
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Bronchial Asthma,HAS_SYMPTOM,fatigue
Bronchial Asthma,HAS_SYMPTOM,cough
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Bronchial Asthma,HAS_SYMPTOM,fatigue
Bronchial Asthma,HAS_SYMPTOM,cough
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Bronchial Asthma,HAS_SYMPTOM,fatigue
Bronchial Asthma,HAS_SYMPTOM,cough
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Bronchial Asthma,HAS_SYMPTOM,fatigue
Bronchial Asthma,HAS_SYMPTOM,cough
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,fatigue
Bronchial Asthma,HAS_SYMPTOM,cough
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Bronchial Asthma,HAS_SYMPTOM,cough
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Bronchial Asthma,HAS_SYMPTOM,fatigue
Bronchial Asthma,HAS_SYMPTOM,high_fever
Bronchial Asthma,HAS_SYMPTOM,breathlessness
Bronchial Asthma,HAS_SYMPTOM,family_history
Bronchial Asthma,HAS_SYMPTOM,mucoid_sputum
Hypertension,HAS_SYMPTOM,headache
Hypertension,HAS_SYMPTOM,chest_pain
Hypertension,HAS_SYMPTOM,dizziness
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,lack_of_concentration
Hypertension,HAS_SYMPTOM,chest_pain
Hypertension,HAS_SYMPTOM,dizziness
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,lack_of_concentration
Hypertension,HAS_SYMPTOM,headache
Hypertension,HAS_SYMPTOM,dizziness
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,lack_of_concentration
Hypertension,HAS_SYMPTOM,headache
Hypertension,HAS_SYMPTOM,chest_pain
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,lack_of_concentration
Hypertension,HAS_SYMPTOM,headache
Hypertension,HAS_SYMPTOM,chest_pain
Hypertension,HAS_SYMPTOM,dizziness
Hypertension,HAS_SYMPTOM,lack_of_concentration
Hypertension,HAS_SYMPTOM,headache
Hypertension,HAS_SYMPTOM,chest_pain
Hypertension,HAS_SYMPTOM,dizziness
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,headache
Hypertension,HAS_SYMPTOM,chest_pain
Hypertension,HAS_SYMPTOM,dizziness
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,lack_of_concentration
Hypertension,HAS_SYMPTOM,chest_pain
Hypertension,HAS_SYMPTOM,dizziness
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,lack_of_concentration
Hypertension,HAS_SYMPTOM,headache
Hypertension,HAS_SYMPTOM,dizziness
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,lack_of_concentration
Hypertension,HAS_SYMPTOM,headache
Hypertension,HAS_SYMPTOM,chest_pain
Hypertension,HAS_SYMPTOM,loss_of_balance
Hypertension,HAS_SYMPTOM,lack_of_concentration
Migraine,HAS_SYMPTOM,acidity
Migraine,HAS_SYMPTOM,indigestion
Migraine,HAS_SYMPTOM,headache
Migraine,HAS_SYMPTOM,blurred_and_distorted_vision
Migraine,HAS_SYMPTOM,excessive_hunger
Migraine,HAS_SYMPTOM,stiff_neck
Migraine,HAS_SYMPTOM,depression
Migraine,HAS_SYMPTOM,irritability
Migraine,HAS_SYMPTOM,visual_disturbances
Migraine,HAS_SYMPTOM,indigestion
Migraine,HAS_SYMPTOM,headache
Migraine,HAS_SYMPTOM,blurred_and_distorted_vision
Migraine,HAS_SYMPTOM,excessive_hunger
Migraine,HAS_SYMPTOM,stiff_neck
